MStarID,FundName,Date,Value,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-05,209.11951,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-04,209.09526,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-03,209.09526,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-02,209.09526,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-07-01,208.94891,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-30,209.04350,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-29,208.99394,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-28,208.98512,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-27,208.83405,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-26,208.83405,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-25,208.83405,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-24,208.91100,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-23,208.96834,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-22,209.04192,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-21,208.90199,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-20,208.86650,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-19,208.86650,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-18,208.86650,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-17,209.04980,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-16,209.11691,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-15,209.50667,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-14,209.51714,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-13,209.63795,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-12,209.63795,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-11,209.63795,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-10,209.70175,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-09,209.66537,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-08,209.59605,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-07,209.49467,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-06,209.52829,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-05,209.52829,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-04,209.52829,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-03,209.33372,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-02,209.52449,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-06-01,209.47896,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-31,209.50836,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-30,209.48489,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-29,209.48489,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-28,209.48489,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-27,209.45363,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-26,209.49843,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-25,209.48601,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-24,209.38403,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-23,209.28958,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-22,209.28958,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-21,209.28958,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-20,209.34111,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-19,209.17400,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-18,209.30859,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-17,209.28648,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-16,209.29532,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-15,209.29532,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-14,209.29532,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-13,209.23035,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-12,209.12611,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-11,209.33711,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-10,209.41452,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-09,209.43338,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-08,209.43338,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-07,209.43338,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-06,209.32513,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-05,209.30969,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-04,209.23505,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-03,209.22116,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-02,209.10614,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-05-01,209.10614,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-30,209.10614,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-29,209.08267,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-28,209.08864,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-27,209.00223,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-26,209.07753,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-25,209.14226,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-24,209.14226,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-23,209.14226,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-22,209.21379,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-21,209.20471,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-20,209.21042,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-19,209.08354,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-18,209.06978,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-17,209.06978,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-16,209.06978,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-15,209.18451,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-14,208.97638,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-13,209.02209,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-12,208.84708,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-11,208.93124,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-10,208.93124,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-09,208.93124,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-08,209.04456,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-07,208.99179,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-06,208.91379,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-05,208.67860,
F0000113ES,Morningstar US 1-5Y Tsy&Gv Bd TR USD,2021-04-04,208.78738,
